state,handgun,long_gun,multiple,year,month
Illinois,18417.0,9895.0,765,2017,7
Indiana,15385.0,9995.0,584,2017,7
Iowa,94.0,1649.0,4,2017,7
Kansas,4636.0,3914.0,278,2017,7
Kentucky,7236.0,5118.0,419,2017,7
Louisiana,9420.0,5992.0,575,2017,7
Maine,2695.0,2259.0,122,2017,7
Mariana Islands,11.0,1.0,1,2017,7
Maryland,3710.0,3922.0,18,2017,7
Massachusetts,4034.0,2150.0,118,2017,7
Michigan,9305.0,7687.0,208,2017,7
Minnesota,5181.0,7734.0,245,2017,7
Mississippi,5961.0,3980.0,320,2017,7
Missouri,16151.0,11098.0,857,2017,7
Montana,2307.0,3168.0,156,2017,7
Nebraska,97.0,1204.0,0,2017,7
Nevada,3647.0,1962.0,223,2017,7
New Hampshire,4228.0,2427.0,4,2017,7
New Jersey,4351.0,2519.0,0,2017,7
New Mexico,4834.0,3254.0,228,2017,7
New York,9212.0,11301.0,170,2017,7
North Carolina,1059.0,9316.0,180,2017,7
North Dakota,1286.0,2030.0,62,2017,7
Ohio,20990.0,14131.0,959,2017,7
Oklahoma,9377.0,6698.0,668,2017,7
Oregon,11160.0,7877.0,1,2017,7
Pennsylvania,37329.0,11694.0,0,2017,7
Puerto Rico,1115.0,187.0,22,2017,7
Rhode Island,836.0,593.0,129,2017,7
South Carolina,7458.0,4622.0,327,2017,7
South Dakota,1926.0,2355.0,99,2017,7
Tennessee,20279.0,11425.0,0,2017,7
Texas,36913.0,27245.0,2193,2017,7
Utah,2562.0,2546.0,0,2017,7
Vermont,1127.0,1012.0,47,2017,7
Virgin Islands,39.0,6.0,2,2017,7
Virginia,20688.0,13381.0,0,2017,7
Washington,12872.0,8636.0,565,2017,7
West Virginia,4860.0,4535.0,328,2017,7
Wisconsin,11537.0,9946.0,44,2017,7
Wyoming,1231.0,1395.0,77,2017,7
Alabama,8275.0,4782.0,334,2017,6
Alaska,2909.0,2254.0,190,2017,6
Arizona,11507.0,6726.0,606,2017,6
Arkansas,5634.0,4070.0,292,2017,6
California,42726.0,23807.0,0,2017,6
Colorado,17781.0,11298.0,1038,2017,6
Connecticut,6203.0,1765.0,0,2017,6
Delaware,1724.0,1082.0,66,2017,6
District of Columbia,52.0,5.0,0,2017,6
Florida,52114.0,19380.0,2012,2017,6
Georgia,13617.0,6474.0,497,2017,6
Guam,94.0,42.0,10,2017,6
Hawaii,0.0,0.0,0,2017,6
Idaho,3645.0,3698.0,184,2017,6
Illinois,21394.0,9491.0,790,2017,6
Indiana,18351.0,9706.0,528,2017,6
Iowa,98.0,1641.0,3,2017,6
Kansas,5625.0,3788.0,280,2017,6
Kentucky,8765.0,5223.0,469,2017,6
Louisiana,11706.0,6324.0,540,2017,6
Maine,3064.0,2188.0,155,2017,6
Mariana Islands,9.0,2.0,1,2017,6
Maryland,3968.0,3963.0,19,2017,6
Massachusetts,5612.0,2287.0,149,2017,6
Michigan,11170.0,7578.0,200,2017,6
Minnesota,6258.0,7505.0,286,2017,6
Mississippi,7987.0,4029.0,382,2017,6
Missouri,19459.0,11470.0,935,2017,6
Montana,3026.0,3727.0,212,2017,6
Nebraska,99.0,1261.0,2,2017,6
Nevada,4449.0,2337.0,219,2017,6
New Hampshire,4836.0,2412.0,2,2017,6
New Jersey,5022.0,2586.0,0,2017,6
New Mexico,5152.0,3486.0,261,2017,6
New York,10784.0,11309.0,196,2017,6
North Carolina,1581.0,9570.0,228,2017,6
North Dakota,1426.0,1942.0,59,2017,6
Ohio,23703.0,13536.0,973,2017,6
Oklahoma,11872.0,7459.0,778,2017,6
Oregon,13632.0,9218.0,1,2017,6
Pennsylvania,41408.0,11117.0,0,2017,6
Puerto Rico,1339.0,211.0,35,2017,6
Rhode Island,1053.0,592.0,151,2017,6
South Carolina,11431.0,4533.0,445,2017,6
South Dakota,2215.0,2458.0,142,2017,6
Tennessee,23369.0,11558.0,0,2017,6
Texas,48895.0,29119.0,2307,2017,6
Utah,3307.0,2989.0,0,2017,6
Vermont,1296.0,973.0,41,2017,6
Virgin Islands,25.0,2.0,0,2017,6
Virginia,22416.0,12706.0,0,2017,6
Washington,16674.0,9805.0,604,2017,6
West Virginia,5409.0,4165.0,328,2017,6
Wisconsin,13463.0,9959.0,41,2017,6
Wyoming,1520.0,1544.0,85,2017,6
Alabama,7198.0,4559.0,309,2017,5
Alaska,2851.0,2459.0,170,2017,5
Arizona,12002.0,6555.0,621,2017,5
Arkansas,5181.0,3981.0,275,2017,5
California,42442.0,24495.0,0,2017,5
Colorado,17085.0,11165.0,988,2017,5
Connecticut,5951.0,1862.0,0,2017,5
Delaware,1752.0,1087.0,72,2017,5
District of Columbia,66.0,4.0,2,2017,5
Florida,49700.0,18476.0,1907,2017,5
Georgia,12163.0,6211.0,442,2017,5
Guam,93.0,49.0,8,2017,5
Hawaii,0.0,0.0,0,2017,5
Idaho,3267.0,3699.0,181,2017,5
Illinois,22244.0,9252.0,774,2017,5
Indiana,18110.0,9483.0,618,2017,5
Iowa,196.0,1759.0,3,2017,5
Kansas,5022.0,3818.0,295,2017,5
Kentucky,8690.0,5378.0,433,2017,5
Louisiana,10362.0,6302.0,544,2017,5
Maine,3236.0,2540.0,184,2017,5
Mariana Islands,10.0,1.0,0,2017,5
Maryland,4539.0,4244.0,30,2017,5
Massachusetts,5100.0,2526.0,164,2017,5
Michigan,10483.0,7055.0,191,2017,5
Minnesota,7916.0,7597.0,327,2017,5
Mississippi,7002.0,3938.0,326,2017,5
Missouri,18290.0,11468.0,857,2017,5
Montana,2660.0,3762.0,199,2017,5
Nebraska,109.0,1256.0,5,2017,5
Nevada,4630.0,2288.0,234,2017,5
New Hampshire,4614.0,2472.0,5,2017,5
New Jersey,5569.0,2931.0,0,2017,5
New Mexico,5204.0,3381.0,263,2017,5
New York,11633.0,12857.0,183,2017,5
North Carolina,1363.0,9129.0,206,2017,5
North Dakota,1413.0,1866.0,57,2017,5
Ohio,25230.0,12924.0,1059,2017,5
Oklahoma,10599.0,7270.0,728,2017,5
Oregon,13261.0,9115.0,3,2017,5
Pennsylvania,42646.0,11123.0,0,2017,5
Puerto Rico,1279.0,217.0,31,2017,5
Rhode Island,1048.0,541.0,182,2017,5
South Carolina,9258.0,4234.0,617,2017,5
South Dakota,2369.0,2578.0,145,2017,5
Tennessee,22198.0,10745.0,0,2017,5
Texas,42366.0,27991.0,2226,2017,5
Utah,3204.0,3144.0,0,2017,5
Vermont,1306.0,1132.0,49,2017,5
Virgin Islands,19.0,1.0,2,2017,5
Virginia,21697.0,12181.0,0,2017,5
Washington,15915.0,9682.0,584,2017,5
West Virginia,5818.0,4329.0,321,2017,5
Wisconsin,14070.0,9467.0,58,2017,5
Wyoming,1589.0,1578.0,91,2017,5
Alabama,7131.0,4724.0,261,2017,4
Alaska,2997.0,2840.0,233,2017,4
Arizona,13302.0,7485.0,658,2017,4
Arkansas,5670.0,4226.0,287,2017,4
California,45182.0,24898.0,0,2017,4
Colorado,19453.0,12407.0,1068,2017,4
Connecticut,6557.0,2063.0,0,2017,4
Delaware,2017.0,1249.0,89,2017,4
District of Columbia,68.0,1.0,0,2017,4
Florida,52889.0,19489.0,1840,2017,4
Georgia,13202.0,6567.0,421,2017,4
Guam,93.0,39.0,6,2017,4
Hawaii,0.0,0.0,0,2017,4
Idaho,3874.0,4039.0,160,2017,4
Illinois,25414.0,10416.0,845,2017,4
Indiana,21454.0,11390.0,677,2017,4
Iowa,252.0,2348.0,3,2017,4
Kansas,5901.0,4435.0,308,2017,4
Kentucky,9858.0,6519.0,433,2017,4
Louisiana,10551.0,6161.0,492,2017,4
Maine,3816.0,3073.0,183,2017,4
Mariana Islands,11.0,2.0,0,2017,4
Maryland,4435.0,5128.0,24,2017,4
Massachusetts,6540.0,2717.0,194,2017,4
Michigan,12478.0,9139.0,246,2017,4
Minnesota,13074.0,12144.0,540,2017,4
Mississippi,7952.0,4359.0,294,2017,4
Missouri,20328.0,14124.0,998,2017,4
Montana,3014.0,4246.0,219,2017,4
Nebraska,126.0,1648.0,4,2017,4
Nevada,4890.0,2747.0,287,2017,4
New Hampshire,5658.0,3121.0,9,2017,4
New Jersey,5722.0,3201.0,0,2017,4
New Mexico,5665.0,4023.0,267,2017,4
New York,11913.0,14591.0,204,2017,4
North Carolina,1471.0,9870.0,185,2017,4
North Dakota,2209.0,2492.0,99,2017,4
Ohio,31417.0,16030.0,1209,2017,4
Oklahoma,13317.0,9111.0,862,2017,4
Oregon,15122.0,10896.0,2,2017,4
Pennsylvania,48255.0,11877.0,0,2017,4
Puerto Rico,1105.0,204.0,26,2017,4
Rhode Island,1146.0,673.0,200,2017,4
South Carolina,9548.0,4420.0,1159,2017,4
South Dakota,2896.0,3008.0,148,2017,4
Tennessee,23031.0,11521.0,0,2017,4
Texas,44994.0,28015.0,2442,2017,4
Utah,3917.0,3302.0,0,2017,4
Vermont,1855.0,1720.0,105,2017,4
Virgin Islands,22.0,7.0,0,2017,4
Virginia,29480.0,16844.0,0,2017,4
Washington,17120.0,10659.0,630,2017,4
West Virginia,6723.0,5263.0,365,2017,4
Wisconsin,16700.0,13302.0,46,2017,4
Wyoming,1633.0,1711.0,85,2017,4
Alabama,10603.0,6951.0,387,2017,3
Alaska,3067.0,2640.0,184,2017,3
Arizona,14897.0,9036.0,738,2017,3
Arkansas,7907.0,6010.0,454,2017,3
California,48732.0,27839.0,0,2017,3
Colorado,21249.0,14378.0,1181,2017,3
Connecticut,7476.0,2551.0,0,2017,3
Delaware,2557.0,1677.0,110,2017,3
District of Columbia,83.0,3.0,1,2017,3
Florida,60787.0,23982.0,2176,2017,3
Georgia,19256.0,9518.0,676,2017,3
Guam,74.0,41.0,13,2017,3
Hawaii,0.0,0.0,0,2017,3
Idaho,4500.0,4944.0,243,2017,3
Illinois,30518.0,14411.0,1207,2017,3
Indiana,28593.0,14363.0,793,2017,3
Iowa,316.0,3137.0,4,2017,3
Kansas,7712.0,5522.0,360,2017,3
Kentucky,13769.0,8992.0,645,2017,3
Louisiana,13973.0,8092.0,762,2017,3
Maine,4558.0,3286.0,197,2017,3
Mariana Islands,9.0,1.0,0,2017,3
Maryland,5398.0,5737.0,21,2017,3
Massachusetts,7274.0,3421.0,185,2017,3
Michigan,16031.0,11103.0,273,2017,3
Minnesota,14029.0,12988.0,518,2017,3
Mississippi,11586.0,6508.0,465,2017,3
Missouri,27625.0,17931.0,1286,2017,3
Montana,3615.0,4584.0,281,2017,3
Nebraska,176.0,1984.0,7,2017,3
Nevada,6038.0,3219.0,301,2017,3
New Hampshire,7278.0,3462.0,3,2017,3
New Jersey,6871.0,3864.0,0,2017,3
New Mexico,6752.0,4571.0,374,2017,3
New York,12788.0,15591.0,204,2017,3
North Carolina,1669.0,13837.0,261,2017,3
North Dakota,2013.0,2371.0,70,2017,3
Ohio,37474.0,19925.0,1481,2017,3
Oklahoma,14157.0,10065.0,977,2017,3
Oregon,17177.0,13521.0,0,2017,3
Pennsylvania,61207.0,15836.0,0,2017,3
Puerto Rico,1267.0,206.0,28,2017,3
Rhode Island,1424.0,791.0,223,2017,3
South Carolina,13284.0,6749.0,691,2017,3
South Dakota,3361.0,3686.0,238,2017,3
Tennessee,29369.0,15922.0,0,2017,3
Texas,55983.0,34308.0,2846,2017,3
Utah,4401.0,4010.0,0,2017,3
Vermont,2007.0,1793.0,109,2017,3
Virgin Islands,27.0,5.0,0,2017,3
Virginia,29873.0,17754.0,0,2017,3
Washington,20308.0,12740.0,735,2017,3
West Virginia,8887.0,6616.0,523,2017,3
Wisconsin,19864.0,16763.0,41,2017,3
Wyoming,2017.0,2038.0,124,2017,3
Alabama,10739.0,7028.0,505,2017,2
Alaska,2857.0,2102.0,180,2017,2
Arizona,15642.0,8881.0,821,2017,2
Arkansas,7974.0,5938.0,590,2017,2
California,44363.0,24987.0,0,2017,2
Colorado,20958.0,13477.0,1240,2017,2
Connecticut,6445.0,2187.0,0,2017,2
Delaware,2342.0,1663.0,102,2017,2
District of Columbia,65.0,1.0,2,2017,2
Florida,59201.0,23479.0,2187,2017,2
Georgia,19007.0,9334.0,863,2017,2
Guam,74.0,43.0,3,2017,2
Hawaii,0.0,0.0,0,2017,2
Idaho,4051.0,3904.0,227,2017,2
Illinois,27418.0,12635.0,1002,2017,2
Indiana,27343.0,13221.0,814,2017,2
Iowa,318.0,2403.0,12,2017,2
Kansas,8082.0,5501.0,430,2017,2
Kentucky,14975.0,8636.0,1044,2017,2
Louisiana,12698.0,7601.0,668,2017,2
Maine,3758.0,2544.0,169,2017,2
Mariana Islands,0.0,0.0,0,2017,2
Maryland,4925.0,5534.0,45,2017,2
Massachusetts,6280.0,2901.0,156,2017,2
Michigan,15564.0,9804.0,263,2017,2
Minnesota,12047.0,9641.0,375,2017,2
Mississippi,11285.0,6045.0,580,2017,2
Missouri,26726.0,16012.0,1477,2017,2
Montana,2912.0,3429.0,309,2017,2
Nebraska,171.0,1937.0,6,2017,2
Nevada,5644.0,2732.0,308,2017,2
New Hampshire,6092.0,3098.0,2,2017,2
New Jersey,5904.0,3481.0,0,2017,2
New Mexico,7032.0,4632.0,509,2017,2
New York,11465.0,14080.0,179,2017,2
North Carolina,1410.0,13488.0,415,2017,2
North Dakota,1807.0,2213.0,77,2017,2
Ohio,36244.0,18068.0,1583,2017,2
Oklahoma,14051.0,9769.0,1211,2017,2
Oregon,16425.0,11726.0,0,2017,2
Pennsylvania,54107.0,12734.0,0,2017,2
Puerto Rico,1000.0,197.0,24,2017,2
Rhode Island,1278.0,731.0,209,2017,2
South Carolina,12510.0,6324.0,2679,2017,2
South Dakota,3569.0,3533.0,170,2017,2
Tennessee,31982.0,16425.0,0,2017,2
Texas,56786.0,33238.0,3523,2017,2
Utah,4371.0,4252.0,0,2017,2
Vermont,1885.0,1538.0,59,2017,2
Virgin Islands,26.0,8.0,0,2017,2
Virginia,28434.0,16587.0,0,2017,2
Washington,18785.0,11860.0,842,2017,2
West Virginia,8917.0,6203.0,668,2017,2
Wisconsin,18147.0,12247.0,57,2017,2
Wyoming,1839.0,1646.0,113,2017,2
Alabama,6770.0,6572.0,278,2017,1
Alaska,2028.0,1631.0,127,2017,1
Arizona,12108.0,7353.0,550,2017,1
Arkansas,5174.0,5278.0,313,2017,1
California,41516.0,22686.0,0,2017,1
Colorado,17189.0,11864.0,982,2017,1
Connecticut,6133.0,2115.0,0,2017,1
Delaware,1815.0,1466.0,57,2017,1
District of Columbia,69.0,6.0,0,2017,1
Florida,51599.0,21867.0,1816,2017,1
Georgia,12519.0,7945.0,376,2017,1
Guam,118.0,66.0,9,2017,1
Hawaii,0.0,0.0,0,2017,1
Idaho,2617.0,3049.0,122,2017,1
Illinois,24594.0,11185.0,767,2017,1
Indiana,21284.0,11456.0,607,2017,1
Iowa,180.0,2015.0,4,2017,1
Kansas,5798.0,4969.0,262,2017,1
Kentucky,9743.0,6700.0,397,2017,1
Louisiana,10709.0,8701.0,472,2017,1
Maine,3094.0,2447.0,142,2017,1
Mariana Islands,0.0,2.0,0,2017,1
Maryland,4456.0,5254.0,24,2017,1
Massachusetts,6069.0,2871.0,154,2017,1
Michigan,10181.0,7490.0,154,2017,1
Minnesota,9389.0,7266.0,319,2017,1
Mississippi,6805.0,5592.0,248,2017,1
Missouri,20123.0,13512.0,857,2017,1
Montana,2015.0,2748.0,139,2017,1
Nebraska,141.0,1673.0,3,2017,1
Nevada,4235.0,2361.0,226,2017,1
New Hampshire,5332.0,2836.0,6,2017,1
New Jersey,5719.0,3355.0,0,2017,1
New Mexico,4781.0,3641.0,233,2017,1
New York,11059.0,13412.0,171,2017,1
North Carolina,1073.0,11218.0,188,2017,1
North Dakota,1370.0,1892.0,68,2017,1
Ohio,27124.0,15070.0,995,2017,1
Oklahoma,10811.0,8883.0,705,2017,1
Oregon,12071.0,8985.0,0,2017,1
Pennsylvania,44199.0,10689.0,0,2017,1
Puerto Rico,1072.0,181.0,20,2017,1
Rhode Island,1196.0,687.0,160,2017,1
South Carolina,9374.0,5678.0,525,2017,1
South Dakota,2371.0,2803.0,133,2017,1
Tennessee,23009.0,13583.0,0,2017,1
Texas,42697.0,31314.0,2176,2017,1
Utah,3031.0,2961.0,0,2017,1
Vermont,1338.0,1214.0,60,2017,1
Virgin Islands,17.0,9.0,1,2017,1
Virginia,21375.0,14319.0,0,2017,1
Washington,15595.0,9913.0,525,2017,1
West Virginia,5837.0,4995.0,344,2017,1
Wisconsin,12346.0,8888.0,29,2017,1
Wyoming,1329.0,1433.0,73,2017,1
Alabama,13733.0,17519.0,533,2016,12
Alaska,4087.0,3698.0,191,2016,12
Arizona,18024.0,13785.0,703,2016,12
Arkansas,9192.0,13433.0,385,2016,12
California,63649.0,93224.0,0,2016,12
Colorado,25905.0,21134.0,1426,2016,12
Connecticut,8003.0,3153.0,0,2016,12
Delaware,2689.0,2981.0,117,2016,12
District of Columbia,60.0,5.0,2,2016,12
Florida,69842.0,39880.0,2595,2016,12
Georgia,23875.0,22613.0,844,2016,12
Guam,105.0,51.0,8,2016,12
Hawaii,0.0,0.0,0,2016,12
Idaho,5471.0,7074.0,210,2016,12
Illinois,29658.0,17164.0,1031,2016,12
Indiana,30248.0,21688.0,911,2016,12
Iowa,391.0,4822.0,3,2016,12
Kansas,8494.0,10473.0,415,2016,12
Kentucky,17311.0,16766.0,673,2016,12
Louisiana,18412.0,22848.0,901,2016,12
Maine,4641.0,4713.0,187,2016,12
Mariana Islands,0.0,0.0,0,2016,12
Maryland,4925.0,8870.0,33,2016,12
Massachusetts,7050.0,3884.0,197,2016,12
Michigan,14879.0,14328.0,245,2016,12
Minnesota,12431.0,12851.0,426,2016,12
Mississippi,13168.0,17231.0,529,2016,12
Missouri,29770.0,27013.0,1234,2016,12
Montana,3822.0,5832.0,220,2016,12
Nebraska,268.0,3697.0,6,2016,12
Nevada,6783.0,4696.0,411,2016,12
New Hampshire,6625.0,4225.0,1,2016,12
New Jersey,5394.0,4979.0,0,2016,12
New Mexico,7484.0,7149.0,331,2016,12
New York,12074.0,22585.0,248,2016,12
North Carolina,2163.0,28023.0,285,2016,12
North Dakota,1799.0,2927.0,81,2016,12
Ohio,40996.0,29641.0,1531,2016,12
Oklahoma,17990.0,19418.0,1060,2016,12
Oregon,18931.0,16010.0,0,2016,12
Pennsylvania,64220.0,18688.0,0,2016,12
Puerto Rico,1334.0,256.0,28,2016,12
Rhode Island,1283.0,953.0,210,2016,12
South Carolina,15600.0,14782.0,425,2016,12
South Dakota,3525.0,5131.0,220,2016,12
Tennessee,36917.0,30997.0,0,2016,12
Texas,69163.0,69272.0,3208,2016,12
Utah,6428.0,9257.0,0,2016,12
Vermont,1802.0,1998.0,74,2016,12
Virgin Islands,15.0,5.0,0,2016,12
Virginia,32572.0,27619.0,0,2016,12
Washington,21835.0,16484.0,706,2016,12
West Virginia,10869.0,11628.0,543,2016,12
Wisconsin,16521.0,15036.0,37,2016,12
Wyoming,2540.0,2984.0,119,2016,12
Alabama,10214.0,13470.0,599,2016,11
Alaska,3396.0,4019.0,249,2016,11
Arizona,14850.0,11994.0,829,2016,11
Arkansas,7226.0,11866.0,449,2016,11
California,56932.0,82554.0,0,2016,11
Colorado,24052.0,19794.0,1553,2016,11
Connecticut,7063.0,3258.0,0,2016,11
Delaware,2490.0,2751.0,106,2016,11
District of Columbia,49.0,5.0,1,2016,11
Florida,62351.0,35718.0,2701,2016,11
Georgia,18011.0,16759.0,803,2016,11
Guam,104.0,54.0,4,2016,11
Hawaii,0.0,0.0,0,2016,11
Idaho,4711.0,6175.0,232,2016,11
Illinois,28463.0,19005.0,1206,2016,11
Indiana,25246.0,23336.0,912,2016,11
Iowa,399.0,5112.0,13,2016,11
Kansas,8136.0,9854.0,493,2016,11
Kentucky,12847.0,14844.0,640,2016,11
Louisiana,14674.0,18349.0,850,2016,11
Maine,4135.0,5097.0,196,2016,11
Mariana Islands,0.0,4.0,0,2016,11
Maryland,5356.0,9509.0,38,2016,11
Massachusetts,7117.0,4783.0,197,2016,11
Michigan,15803.0,18241.0,333,2016,11
Minnesota,12338.0,15597.0,444,2016,11
Mississippi,9382.0,13481.0,528,2016,11
Missouri,23719.0,26338.0,1297,2016,11
Montana,3093.0,5546.0,231,2016,11
Nebraska,216.0,3688.0,12,2016,11
Nevada,6338.0,4291.0,436,2016,11
New Hampshire,6283.0,4822.0,4,2016,11
New Jersey,5398.0,5720.0,0,2016,11
New Mexico,6153.0,6034.0,356,2016,11
New York,11157.0,25229.0,248,2016,11
North Carolina,1709.0,23215.0,262,2016,11
North Dakota,1827.0,3546.0,98,2016,11
Ohio,37304.0,32312.0,1694,2016,11
Oklahoma,16348.0,17019.0,1088,2016,11
Oregon,17013.0,15711.0,0,2016,11
Pennsylvania,66188.0,20487.0,0,2016,11
Puerto Rico,1323.0,204.0,34,2016,11
Rhode Island,1271.0,1065.0,201,2016,11
South Carolina,12839.0,11547.0,558,2016,11
South Dakota,3456.0,5677.0,209,2016,11
Tennessee,29502.0,25976.0,0,2016,11
Texas,58778.0,56057.0,3760,2016,11
Utah,5232.0,7021.0,0,2016,11
Vermont,1342.0,1975.0,73,2016,11
Virgin Islands,17.0,5.0,0,2016,11
Virginia,29544.0,26823.0,0,2016,11
Washington,19534.0,16266.0,808,2016,11
West Virginia,7824.0,11134.0,465,2016,11
Wisconsin,17580.0,19631.0,34,2016,11
Wyoming,2097.0,2691.0,125,2016,11
Alabama,7757.0,8865.0,429,2016,10
Alaska,3906.0,3949.0,274,2016,10
Arizona,12405.0,9382.0,681,2016,10
Arkansas,5607.0,8235.0,373,2016,10
California,45785.0,54333.0,0,2016,10
Colorado,20343.0,16962.0,1329,2016,10
Connecticut,6374.0,2698.0,0,2016,10
Delaware,2070.0,2082.0,107,2016,10
District of Columbia,59.0,2.0,0,2016,10
Florida,50003.0,27010.0,2302,2016,10
Georgia,13799.0,12262.0,664,2016,10
Guam,127.0,72.0,4,2016,10
Hawaii,0.0,0.0,0,2016,10
Idaho,3913.0,5787.0,208,2016,10
Illinois,33986.0,14739.0,1090,2016,10
Indiana,21058.0,16857.0,829,2016,10
Iowa,221.0,3557.0,11,2016,10
Kansas,6527.0,6775.0,418,2016,10
Kentucky,10111.0,10030.0,519,2016,10
